6,96,192,16,16
1,88,192,8,16
1,112,192,8,16
2,88,184,16,8
2,104,184,16,8
0,0,176,16,16
0,16,176,16,16
0,16,160,16,16
0,16,144,16,16
0,16,128,16,16
0,32,176,16,16
0,48,176,16,16
0,48,160,16,16
0,48,144,16,16
0,48,128,16,16
0,64,144,16,16
0,80,144,16,16
0,80,128,16,16
0,80,112,16,16
2,80,104,16,8
3,96,112,16,16
0,192,176,16,16
0,176,176,16,16
0,176,160,16,16
0,176,144,16,16
0,176,128,16,16
0,160,176,16,16
0,144,176,16,16
0,144,160,16,16
0,144,144,16,16
0,144,128,16,16
0,128,144,16,16
0,112,144,16,16
0,112,128,16,16
0,112,112,16,16
2,112,104,16,8
8,96,80,16,16
9,96,64,16,16
9,0,64,16,16
8,0,80,16,16
9,192,64,16,16
8,192,80,16,16
0,64,80,16,16
0,48,80,16,16
0,32,80,16,16
0,64,64,16,16
9,48,64,16,16
0,32,64,16,16
0,64,48,16,16
9,48,48,16,16
0,32,48,16,16
0,64,32,16,16
9,48,32,16,16
0,32,32,16,16
2,16,32,16,8
2,80,32,16,8
0,80,16,16,16
9,64,16,16,16
9,48,16,16,16
9,32,16,16,16
0,16,16,16,16
0,160,80,16,16
0,144,80,16,16
0,128,80,16,16
0,160,64,16,16
9,144,64,16,16
0,128,64,16,16
0,160,48,16,16
9,144,48,16,16
0,128,48,16,16
0,160,32,16,16
9,144,32,16,16
0,128,32,16,16
2,112,32,16,8
2,176,32,16,8
0,176,16,16,16
9,160,16,16,16
9,144,16,16,16
9,128,16,16,16
0,112,16,16,16
