6,96,192,16,16
1,88,192,8,16
1,112,192,8,16
2,88,184,16,8
2,104,184,16,8
9,0,192,16,16
3,16,192,16,16
9,32,192,16,16
9,144,192,16,16
0,160,192,16,16
9,176,192,16,16
9,16,176,16,16
9,64,176,16,16
9,160,176,16,16
3,176,176,16,16
9,192,176,16,16
9,48,160,16,16
0,64,160,16,16
9,80,160,16,16
9,128,160,16,16
9,176,160,16,16
9,0,144,16,16
9,48,144,16,16
0,64,144,16,16
9,80,144,16,16
9,112,144,16,16
0,128,144,16,16
9,144,144,16,16
0,0,128,16,16
9,16,128,16,16
9,64,128,16,16
9,128,128,16,16
9,160,128,16,16
3,0,112,16,16
0,16,112,16,16
9,32,112,16,16
9,96,112,16,16
9,144,112,16,16
3,160,112,16,16
9,176,112,16,16
0,0,96,16,16
9,16,96,16,16
9,80,96,16,16
3,96,96,16,16
9,112,96,16,16
9,160,96,16,16
9,192,96,16,16
9,0,80,16,16
9,48,80,16,16
9,96,80,16,16
9,176,80,16,16
3,192,80,16,16
9,32,64,16,16
0,48,64,16,16
9,64,64,16,16
9,128,64,16,16
9,144,64,16,16
9,192,64,16,16
9,16,48,16,16
0,32,48,16,16
9,48,48,16,16
9,112,48,16,16
0,128,48,16,16
0,144,48,16,16
9,160,48,16,16
9,32,32,16,16
9,80,32,16,16
9,128,32,16,16
9,144,32,16,16
9,64,16,16,16
3,80,16,16,16
9,96,16,16,16
9,80,0,16,16
